"isbn","bookTitle","aliases","authorEditor","language","edition","year","publicationDate","productForm","country","status","administrator","applicationNo","applicationSubmitted","verificationNotes","earmarked","available","used","totalEarmarked","booksSubmitted","booksPending","booksSurrendered","applicationSerialNo","bookSerialNo","sourceRow"
"978-93-345-0331-9","WHEN DREAMS MERGE","","Gajendra Thakur","English","","2026","2026-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","43265|ISBN|2026|A","2026-09-09","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","2","1","8"
"978-93-344-9610-9","गजेन्द्र ठाकुरक समानान्तर दर्शन खण्ड १ आ २","","Gajendra Thakur","Maithili","","2026","2026-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","42207|ISBN|2026|A","2026-09-03","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","3","1","9"
"978-93-344-9415-0","History of Mithila, Vajji & Anga: From Prehistory to the Contemporary Period vol. 1 General and political history vol 2 socio-cultural-economic history","","Gajendra Thakur","English","","2026","2026-09-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","41805|ISBN|2026|A","2026-09-02","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","4","1","10"
"978-93-344-8981-1","प्रबन्ध · निबन्ध · समालोचना सिद्धान्त आ अनुप्रयुक्त अध्ययन","","Gajendra Thakur","Maithili","","2026","2009-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","41217|ISBN|2026|A","2026-08-31","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","5","1","11"
"978-93-344-8592-9","संस्कृत साहित्य-संग्रह १३ पुस्तकक संयुक्त संस्करण संस्कृतसँ मैथिली अनुवाद गजेन्द्र ठाकुर","","Gajendra Thakur","Maithili","","2026","2002-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","40789|ISBN|2026|A","2026-08-28","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","6","1","12"
"978-93-344-8405-2","मैथिलीक एकटा समानान्तर व्याकरण, रचना आ भाषा विज्ञान (ठेठी, अंगिका आ बज्जिकाकेँ संग लऽ कऽ)","","Gajendra Thakur","Maithili","","2026","2004-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","40264|ISBN|2026|A","2026-08-25","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","7","1","13"
"978-93-344-7568-5","WATER-BURIAL AMONG THE CROCODILES","","Gajendra Thakur","Maithili","","2026","2026-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","39574|ISBN|2026|A","2026-08-21","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","8","1","14"
"978-93-344-6450-4","न्यायकुसुमाञ्जलि उदयनाचार्य मूल संस्कृत: उदयनाचार्य • संस्कृतसँ मैथिली अनुवाद: गजेन्द्र ठाकुर","","Gajendra Thakur","Maithili","","2026","2004-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","37525|ISBN|2026|A","2026-08-10","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","9","1","15"
"978-93-5943-857-3","मूल संस्कृत: उदयनाचार्य • संस्कृतसँ मैथिली अनुवाद: गजेन्द्र ठाकुर","","Gajendra Thakur","Maithili","","2026","2004-01-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","37400|ISBN|2026|A","2026-08-10","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","10","1","16"
"978-93-5943-682-1","भामती मूल संस्कृत वाचस्पति मिश्र संस्कृतसँ मैथिली अनुवाद गजेन्द्र ठाकुर","","Gajendra Thakur","Maithili","2","2026","2026-08-01","Book","INDIA","Allotted |

Allocation Letter","Gajendra","37146|ISBN|2026|A","2026-08-08","Edit | Surrender ISBN
| Final Verso Page Uploaded [Verification Pending from RRRNA]","1","0","1","1","0","0","0","11","1","17"
